id;announcement_type;title;content;created_date;last_modified_date;created_by;last_modified_by;announcer_id
1;POLICY_CHANGE;drat weakly gruesome;aside purse;2025-12-15T22:35:52;2025-12-15T23:53:54;even which;onto once eek;24773
2;POLICY_CHANGE;fairly;er promptly ew;2025-12-15T20:47:36;2025-12-15T11:03:19;although hm;regularly heartfelt ambitious;28375
3;COMMUNITY_ALERT;brr atop;worth;2025-12-15T17:31:33;2025-12-15T15:39:29;woot regarding humor;consequently splurge psst;1773
4;COMMUNITY_ALERT;instead;meh;2025-12-15T20:35:08;2025-12-15T14:29:27;relative;hmph yowza about;27154
5;POLICY_CHANGE;um what;entice;2025-12-16T01:58:39;2025-12-16T00:12:32;offensively;patiently carnival;22880
6;POLICY_CHANGE;actually yearningly;zowie querulous;2025-12-15T23:26:39;2025-12-15T20:13:41;duh;odd cleaner;15753
7;COMMUNITY_ALERT;than;french reboot;2025-12-16T04:01:19;2025-12-15T13:50:41;useless a;superb conjecture;20612
8;BANNER;archaeology off heavy;aside;2025-12-15T12:27:07;2025-12-15T17:24:13;uh-huh scoff;unexpectedly;19298
9;COMMUNITY_ALERT;bench an;whenever develop late;2025-12-15T22:04:40;2025-12-16T03:20:42;mill until;planula;5458
10;COMMUNITY_ALERT;lest;wherever rigidly;2025-12-15T23:57:16;2025-12-15T21:42:16;shadowbox;oof er;10443
