id;config_key;config_value;description;config_value_type;config_category;config_file;config_file_content_type;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;woefully monumental blaspheme;unbearably er;secondary sesame scarper;INTEGER;USER_INTERFACE;../fake-data/blob/hipster.png;image/png;2025-12-15T09:41:31;2025-12-16T05:56:04;perfectly notwithstanding;towards mmm;2025-12-15T22:18:51
2;ouch;after utterly whose;acclaimed yum;STRING;PAYMENT;../fake-data/blob/hipster.png;image/png;2025-12-15T13:13:01;2025-12-15T08:07:23;owlishly underneath pace;masquerade clear;2025-12-15T23:54:34
3;flint incidentally stranger;especially casement honorable;since unbearably cornet;BOOLEAN;NOTIFICATIONS;../fake-data/blob/hipster.png;image/png;2025-12-15T15:53:06;2025-12-16T04:10:48;zowie;since;2025-12-16T06:07:38
4;on brr incidentally;ceramic now digitize;whoever briefly;JSON;INTEGRATIONS;../fake-data/blob/hipster.png;image/png;2025-12-15T22:55:16;2025-12-16T04:10:11;amongst;without drat;2025-12-15T09:28:32
5;er discourse provided;excellent huddle lampoon;ack on vanish;DATE;INTEGRATIONS;../fake-data/blob/hipster.png;image/png;2025-12-16T05:48:37;2025-12-16T05:38:49;fax very whose;geez painfully;2025-12-15T10:33:13
6;overheard;easily slide;about questioningly drat;STRING;GENERAL;../fake-data/blob/hipster.png;image/png;2025-12-16T01:12:59;2025-12-16T03:10:13;mid like bell;minor around er;2025-12-15T12:33:28
7;over;provided pfft bewail;at;DATE;CONTENT;../fake-data/blob/hipster.png;image/png;2025-12-15T11:43:19;2025-12-15T12:03:02;voluminous;retract rue step;2025-12-15T08:51:12
8;till;through till;joshingly save resort;DATE;USER_INTERFACE;../fake-data/blob/hipster.png;image/png;2025-12-16T00:25:18;2025-12-16T05:16:32;geez along sympathetically;stay toward density;2025-12-15T11:06:45
9;quick-witted;lest petal;poorly tremendously;TEXT;NOTIFICATIONS;../fake-data/blob/hipster.png;image/png;2025-12-16T02:58:12;2025-12-15T21:26:26;red although;partially westernize coordination;2025-12-15T14:46:55
10;gadzooks;why and;pish marvelous;JSON;SEO;../fake-data/blob/hipster.png;image/png;2025-12-16T05:04:25;2025-12-16T05:16:49;lightly pale;cinema;2025-12-15T12:11:46
