id;subject;description;status;type;opened_at;closed_at;comments;created_date;last_modified_date;created_by;last_modified_by;user_id
1;qua;er;ASSIGNED;DOCUMENT_VERIFICATION;2025-12-16T01:13:45;2025-12-15T20:48:29;regarding yowza;2025-12-16T01:01:21;2025-12-15T11:21:34;woot;fleck why tensely;1
2;if however over;oof whose;CLOSED;REFUND_REQUEST;2025-12-15T08:46:30;2025-12-15T15:36:33;when;2025-12-16T00:20:46;2025-12-15T11:05:06;decide;silent;2
3;brr midst meanwhile;lifestyle yuck;ASSIGNED;BUG_REPORT;2025-12-15T12:45:48;2025-12-15T15:35:33;as than;2025-12-16T06:52:27;2025-12-15T10:44:11;why instructive;boo bleakly pliers;3
4;accompany;considering before;CLOSED;REPORT_REQUEST;2025-12-15T10:33:23;2025-12-15T07:59:47;numb than since;2025-12-16T01:29:21;2025-12-15T18:50:04;even lovingly;waterlogged;4
5;boo;narrowcast whether;ASSIGNED;HARASSMENT_REPORT;2025-12-15T09:20:34;2025-12-15T22:52:08;sheepishly pish brand;2025-12-15T19:35:07;2025-12-16T04:05:00;pfft underneath oh;tomb;5
6;than usable unwieldy;ditch;CLOSED;ACCESS_ISSUE;2025-12-15T15:08:54;2025-12-15T21:02:03;owlishly;2025-12-16T03:59:50;2025-12-15T13:23:42;crossly;squiggly hypothesise explode;6
7;gadzooks notwithstanding;reborn quirkily ajar;CLOSED;CONTENT_ISSUE;2025-12-16T04:08:24;2025-12-15T23:37:58;swordfish;2025-12-15T17:37:09;2025-12-16T01:36:28;defensive gad;zany shampoo depute;7
8;uselessly often hence;who optimistic;CLOSED;OTHER;2025-12-15T08:22:46;2025-12-15T10:44:18;usually frizzy urgently;2025-12-15T08:09:56;2025-12-16T03:10:48;oof gallivant masterpiece;er;8
9;soon consequently;aha record;OPEN;CONTENT_ISSUE;2025-12-15T08:52:39;2025-12-15T22:47:20;versus but immediate;2025-12-15T17:50:28;2025-12-15T20:09:13;badly justly;ghost ha think;9
10;blah promptly incidentally;worriedly after;CLOSED;BUG_REPORT;2025-12-15T18:57:02;2025-12-16T03:47:45;anxiously when frantically;2025-12-15T08:26:21;2025-12-15T23:43:22;how very despite;reboot;10
