id;room_type;title;last_action;last_connection_date;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;GROUP;qua ick;usually word kiss;2025-12-15T14:16:15;2025-12-15T16:42:33;2025-12-16T06:36:41;gladly legislature more;along instantly;2025-12-16T06:47:00
2;GROUP;orientate powerfully;twin;2025-12-15T19:07:02;2025-12-16T01:03:20;2025-12-16T02:07:45;ha birdbath down;quaff;2025-12-15T13:02:09
3;GROUP;blushing;perp outside;2025-12-15T08:05:35;2025-12-16T05:39:15;2025-12-15T21:40:33;wearily king confute;why finally;2025-12-15T13:46:48
4;DIRECT;bright source;fully loudly worth;2025-12-15T07:24:42;2025-12-15T17:26:29;2025-12-15T18:27:55;indeed;supposing airman;2025-12-15T23:19:57
5;DIRECT;about circular;sweetly than probate;2025-12-15T13:39:03;2025-12-15T07:35:27;2025-12-15T17:17:02;unfit jam-packed;psst acquire;2025-12-15T11:03:34
6;DIRECT;past favorite;above contractor;2025-12-16T05:30:49;2025-12-15T20:54:13;2025-12-15T18:45:17;enfold woot under;citizen or retool;2025-12-16T03:59:25
7;DIRECT;ouch yippee notwithstanding;vastly gee honorable;2025-12-15T09:38:47;2025-12-15T21:29:57;2025-12-15T10:55:48;fairly;indolent;2025-12-15T10:10:48
8;GROUP;gadzooks optimal;uh-huh gloomy;2025-12-16T01:04:48;2025-12-15T15:45:56;2025-12-15T17:12:44;qua pleased provided;kindly exalted;2025-12-15T16:20:06
9;DIRECT;dispense lest;consequently hexagon;2025-12-16T06:50:33;2025-12-15T22:33:03;2025-12-15T11:04:02;oddly;pocket-watch yuck;2025-12-15T07:05:51
10;DIRECT;trash sardonic;when yowza ferociously;2025-12-15T14:20:56;2025-12-15T19:06:19;2025-12-16T06:06:12;officially;brief;2025-12-15T18:01:55
