id;message_content;read_date;like_count;is_hidden;created_date;last_modified_date;created_by;last_modified_by;deleted_date;replied_story_id;chat_room_id;sender_id
1;../fake-data/blob/hipster.txt;2025-12-15T15:29:25;3556;true;2025-12-16T06:25:36;2025-12-15T09:30:58;zealous husband guzzle;drat miserly;2025-12-15T21:17:17;22933;1;1
2;../fake-data/blob/hipster.txt;2025-12-15T23:17:24;30693;true;2025-12-15T17:35:48;2025-12-15T13:15:51;qua;windy;2025-12-16T03:28:47;24095;2;2
3;../fake-data/blob/hipster.txt;2025-12-15T07:52:21;881;false;2025-12-15T22:14:36;2025-12-15T07:17:46;hastily;vivaciously;2025-12-16T00:37:54;25165;3;3
4;../fake-data/blob/hipster.txt;2025-12-16T05:21:35;27184;false;2025-12-16T04:09:08;2025-12-15T11:14:49;within;actually metabolise honestly;2025-12-15T09:14:02;21435;4;4
5;../fake-data/blob/hipster.txt;2025-12-15T11:38:02;32719;false;2025-12-15T18:34:57;2025-12-15T21:51:40;stir-fry dreary blah;circular;2025-12-16T02:01:56;12802;5;5
6;../fake-data/blob/hipster.txt;2025-12-15T09:00:54;6419;true;2025-12-15T07:20:36;2025-12-15T19:16:45;secret;than;2025-12-15T19:49:33;15388;6;6
7;../fake-data/blob/hipster.txt;2025-12-15T16:06:29;4107;true;2025-12-16T03:32:34;2025-12-15T18:12:36;toward;whenever how;2025-12-15T17:18:13;16489;7;7
8;../fake-data/blob/hipster.txt;2025-12-15T11:25:11;5702;false;2025-12-15T12:14:30;2025-12-16T02:38:30;wrathful;stay surprisingly;2025-12-15T09:10:59;30587;8;8
9;../fake-data/blob/hipster.txt;2025-12-15T15:54:00;13423;true;2025-12-15T12:34:39;2025-12-15T15:27:10;and before;overcooked orange;2025-12-16T02:03:07;24840;9;9
10;../fake-data/blob/hipster.txt;2025-12-15T08:47:13;21246;true;2025-12-16T04:46:35;2025-12-15T17:22:25;chilly;deliberately;2025-12-16T04:56:47;17574;10;10
