id;tag_name;hashtag_type;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;aged;FETISH;2025-12-15T14:27:11;2025-12-16T01:50:37;deduction without favorable;phooey;2025-12-15T17:17:10
2;huzzah;POST;2025-12-16T05:27:58;2025-12-15T10:18:28;wherever but upon;gadzooks youthfully impact;2025-12-16T05:05:57
3;yuck impractical;POST;2025-12-15T13:28:35;2025-12-15T15:40:02;brr boo;next whirlwind actually;2025-12-15T16:38:47
4;yippee wedding;POST;2025-12-16T05:45:09;2025-12-16T03:04:56;pull hmph;once;2025-12-15T10:18:40
5;similar;USER;2025-12-15T20:09:30;2025-12-16T01:17:30;grounded;frail;2025-12-15T10:50:40
6;neatly gadzooks unzip;POST;2025-12-15T23:34:26;2025-12-15T17:17:46;next yowza more;downchange moisten;2025-12-15T11:57:54
7;desk ah;USER;2025-12-16T05:40:46;2025-12-16T05:35:55;brr;terraform outflank whoa;2025-12-15T07:32:47
8;whoever;USER;2025-12-16T02:45:52;2025-12-15T13:07:06;over incidentally;hence meh;2025-12-15T13:08:33
9;worth meanwhile;POST;2025-12-15T15:22:03;2025-12-16T00:54:03;endow shear;across aha mature;2025-12-15T13:33:33
10;ragged;POST;2025-12-16T03:58:33;2025-12-15T21:40:57;once;linear completion;2025-12-16T01:46:51
