id;document_status;resolution_date;review_status;created_date;last_modified_date;created_by;last_modified_by;ticket_id
1;REJECTED;2025-12-15T10:40:26;APPROVED;2025-12-15T13:25:31;2025-12-16T03:48:58;but as;save astride hypothesise;9830
2;PENDING;2025-12-15T13:58:50;REJECTED;2025-12-15T08:47:33;2025-12-16T05:26:46;ouch;yet whoa woot;1743
3;REJECTED;2025-12-15T20:01:44;REVIEWING;2025-12-15T17:09:18;2025-12-15T13:17:50;than and shameless;simple;8963
4;APPROVED;2025-12-15T10:56:56;REVIEWING;2025-12-15T19:19:15;2025-12-15T07:18:02;aw;jellyfish pfft;14588
5;REJECTED;2025-12-15T20:20:23;REVIEWING;2025-12-16T03:33:34;2025-12-15T13:51:14;and delicious;tensely;4519
6;PENDING;2025-12-15T21:06:36;APPROVED;2025-12-16T00:53:50;2025-12-15T10:44:00;government unless ugh;upliftingly colorfully chow;26249
7;PENDING;2025-12-15T15:11:45;REJECTED;2025-12-15T07:19:52;2025-12-15T16:48:14;bitterly gratefully nifty;equally;15570
8;REJECTED;2025-12-15T09:11:27;REVIEWING;2025-12-15T12:45:29;2025-12-15T22:33:38;sternly though;around drat phooey;20052
9;APPROVED;2025-12-16T03:40:19;REJECTED;2025-12-15T13:15:06;2025-12-15T09:42:45;truthfully alongside;wrathful;16695
10;APPROVED;2025-12-16T05:32:00;APPROVED;2025-12-16T02:57:07;2025-12-15T18:24:38;super brr;yummy;9544
