id;amount;currency;entry_type;account_type;account_owner_id;reason;reference_type;reference_id;created_date;created_by;deleted_date
1;17016.49;snu;CREDIT;PLATFORM;8031;PURCHASE;dirty;413;2025-12-16T04:05:22;till;2025-12-16T05:11:40
2;18727.95;eve;DEBIT;VIEWER_WALLET;15499;COMMISSION;whether;23701;2025-12-15T08:34:37;versus where;2025-12-15T14:06:17
3;14021.86;woo;CREDIT;PLATFORM;8694;PURCHASE;duh;4536;2025-12-15T06:39:57;anti;2025-12-16T03:13:07
4;11756.94;ha;DEBIT;PLATFORM;13271;PAYOUT;question physically;15904;2025-12-15T14:12:12;since;2025-12-16T02:13:52
5;23531.27;bog;CREDIT;VIEWER_WALLET;5294;PURCHASE;subdued er;24903;2025-12-16T02:24:52;including bah exempt;2025-12-16T02:13:00
6;28665.19;lad;DEBIT;CREATOR;1919;REFUND;uncomfortable puppet;21907;2025-12-15T17:59:09;oh ew;2025-12-15T21:47:08
7;28412.91;inv;CREDIT;CREATOR;26742;REFUND;kissingly too purse;30767;2025-12-15T23:07:56;but tusk playfully;2025-12-15T17:56:11
8;14200.85;ack;CREDIT;CREATOR;12220;PAYOUT;decent;26209;2025-12-15T07:47:24;but;2025-12-16T00:38:37
9;25730.33;exc;DEBIT;PLATFORM;25688;COMMISSION;aching simplistic technician;23562;2025-12-15T18:51:58;questioningly;2025-12-15T10:51:39
10;14779.39;rig;CREDIT;VIEWER_WALLET;28063;PURCHASE;furthermore sometimes;5864;2025-12-15T17:20:47;knavishly which;2025-12-15T23:02:35
