id;entity_type;created_date;last_modified_date;created_by;last_modified_by;deleted_date;multimedia_id;message_id;post_id;comment_id;liker_id
1;PHOTO;2025-12-16T03:32:31;2025-12-15T11:31:35;excluding comb;enormously fondly;2025-12-16T04:50:45;2800;30369;32643;11733;1
2;COMMENT;2025-12-15T17:42:09;2025-12-15T21:06:09;aha;revoke;2025-12-15T15:24:58;22084;5265;26837;12889;2
3;COMMENT;2025-12-16T03:03:51;2025-12-15T20:41:20;huzzah major see;longingly gee stall;2025-12-15T11:06:02;4548;12946;3751;32761;3
4;STORY;2025-12-15T12:29:38;2025-12-15T09:04:33;functional;alongside gah;2025-12-16T05:15:01;28169;22990;9677;24646;4
5;STORY;2025-12-15T14:32:27;2025-12-15T18:48:15;gee geez;joshingly flowery meager;2025-12-15T07:37:20;28656;26787;2649;6295;5
6;PHOTO;2025-12-15T12:28:21;2025-12-16T06:24:09;unnecessarily;lest for in;2025-12-15T15:31:45;25387;12733;4070;20162;6
7;POST;2025-12-16T00:33:10;2025-12-15T07:58:07;gee mutate;at that;2025-12-16T02:09:20;15576;27805;30312;11488;7
8;COMMENT;2025-12-16T02:45:15;2025-12-15T17:12:42;adventurously wherever engender;schedule;2025-12-16T00:17:44;18729;24646;21182;11558;8
9;COMMENT;2025-12-15T13:04:28;2025-12-15T23:30:18;earnest reproachfully likewise;accidentally narrate;2025-12-15T11:20:08;17993;1778;11800;11315;9
10;PHOTO;2025-12-16T01:27:10;2025-12-15T19:41:52;mesh huzzah sans;sometimes calculus repentant;2025-12-16T02:55:19;9186;15910;18772;20961;10
