id;action_type;reason;action_date;duration_days;ticket_id
1;PERMANENT_BAN;mostly youthfully furthermore;2025-12-15T11:19:03;26643;16451
2;WARNING;traduce;2025-12-15T18:15:34;16192;4843
3;CONTENT_REMOVAL;fidget among among;2025-12-15T15:40:26;351;25962
4;WARNING;who naturally hungrily;2025-12-16T01:21:19;27326;23718
5;PERMANENT_BAN;sedately;2025-12-16T00:27:32;14538;7713
6;PERMANENT_BAN;brisk the um;2025-12-15T11:40:43;3975;20844
7;WARNING;although low zowie;2025-12-15T13:49:59;31574;13702
8;OTHER;mad beside;2025-12-15T17:21:33;16592;13660
9;PERMANENT_BAN;voluntarily failing astride;2025-12-15T09:43:41;8350;18752
10;TEMPORARY_BAN;spirit;2025-12-15T15:51:06;17834;17
