id;amount;currency;transaction_type;source_type;source_id;is_paid;payout_id;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;28754.91;oh;TIP_EARNING;unhappy forenenst badly;11413;false;14348;2025-12-15T21:20:56;2025-12-15T15:32:20;judgementally stitcher;taxicab despite yippee;2025-12-15T12:26:20
2;2517.96;uh-;TIP_EARNING;if off;5977;true;7812;2025-12-16T00:24:16;2025-12-15T19:50:39;what qua;vibraphone;2025-12-15T06:32:01
3;15200.08;ouc;MESSAGE_EARNING;king yowza;7143;false;8973;2025-12-15T09:26:39;2025-12-15T07:54:15;beloved against;until however respray;2025-12-15T14:15:07
4;1626.25;amu;MESSAGE_EARNING;tomorrow meh slow;32527;false;1707;2025-12-15T21:55:48;2025-12-15T14:10:46;versus who ew;graft tedious;2025-12-15T15:04:08
5;13833.23;laz;SUBSCRIPTION_EARNING;behind empty underneath;10545;true;24922;2025-12-15T08:44:10;2025-12-15T13:35:09;after duh;hm pish;2025-12-15T16:31:42
6;20355.95;mis;SUBSCRIPTION_EARNING;recent;10219;true;15981;2025-12-16T03:02:30;2025-12-16T06:15:59;spherical regarding;well-documented;2025-12-15T08:14:32
7;15844.67;oof;MESSAGE_EARNING;shrilly yearly ouch;16132;false;14581;2025-12-15T16:34:03;2025-12-15T23:35:23;on lest;pigpen;2025-12-15T18:28:27
8;29388.54;uni;TIP_EARNING;aside velvety;6830;true;1066;2025-12-15T11:06:31;2025-12-15T13:52:44;accompany;knit gift;2025-12-16T01:19:30
9;5084.35;scr;TIP_EARNING;hm cheerfully;29622;false;17209;2025-12-16T01:36:21;2025-12-15T07:49:04;baa;fluff unsteady;2025-12-15T07:18:15
10;15681.08;ind;POST_EARNING;gruesome natural;3187;true;23622;2025-12-16T01:07:01;2025-12-15T14:03:40;boo overplay jealously;spork;2025-12-16T00:50:00
