id;amount;currency;created_date;last_modified_date;created_by;last_modified_by;deleted_date;message_id;post_id
1;24365.35;and;2025-12-15T07:14:40;2025-12-16T01:40:00;qua instantly when;repeatedly mmm;2025-12-16T03:44:41;17030;29006
2;32169.39;eno;2025-12-15T22:00:15;2025-12-15T17:56:59;reassuringly;athwart upliftingly;2025-12-15T16:11:40;823;18359
3;15099.96;pro;2025-12-15T12:08:12;2025-12-15T12:14:26;outside solemnly;cutlet recklessly optimistic;2025-12-15T07:53:01;21788;4922
4;21175.07;wea;2025-12-15T23:22:11;2025-12-15T07:31:08;stealthily narrate scaffold;productive;2025-12-15T23:59:21;32707;11285
5;10567.96;war;2025-12-15T11:58:58;2025-12-15T23:50:17;treble meanwhile;as;2025-12-16T04:48:36;16154;22116
6;26979.1;val;2025-12-15T19:03:29;2025-12-15T07:01:34;against furthermore excepting;ajar warp;2025-12-15T16:14:42;3839;8913
7;1817.68;mad;2025-12-15T14:37:45;2025-12-15T21:32:09;pinion subtract;quaintly;2025-12-15T09:37:49;25447;15969
8;1672.42;mas;2025-12-16T05:07:55;2025-12-15T09:17:18;talkative pull wealthy;square;2025-12-15T15:18:26;27679;4534
9;4123.42;ew ;2025-12-15T12:24:11;2025-12-15T18:37:43;what ack but;monstrous less;2025-12-15T08:15:58;8139;4873
10;2261.75;dai;2025-12-15T11:52:40;2025-12-16T06:11:49;oh fuzzy too;evince;2025-12-15T07:09:53;25631;24688
