id;read_date;notification_kind;created_date;last_modified_date;created_by;last_modified_by;recipient_id
1;2025-12-15T19:49:40;MESSAGE;2025-12-15T07:58:08;2025-12-16T03:12:33;down hm;unethically inhibit loyally;1
2;2025-12-15T13:40:36;COMMENT_MENTION;2025-12-15T08:31:38;2025-12-16T02:07:19;helplessly;firsthand and;2
3;2025-12-15T22:27:41;MESSAGE;2025-12-15T11:46:15;2025-12-15T22:02:56;because;question;3
4;2025-12-15T12:18:17;COMMENT_MENTION;2025-12-16T04:13:44;2025-12-15T12:50:03;while under hmph;outbid next triumphantly;4
5;2025-12-16T03:56:23;POST;2025-12-16T00:41:53;2025-12-15T20:48:57;frantically modulo mmm;carboxyl excluding;5
6;2025-12-16T04:18:09;POST_MENTION;2025-12-15T18:06:15;2025-12-15T17:47:05;aware;forenenst aw;6
7;2025-12-15T15:44:13;MESSAGE;2025-12-15T20:41:52;2025-12-15T08:56:35;portly;wildly bashfully;7
8;2025-12-15T15:26:27;COMMENT;2025-12-15T10:47:06;2025-12-15T16:50:47;majority;intently;8
9;2025-12-15T15:41:31;COMMENT_MENTION;2025-12-15T21:44:05;2025-12-15T09:12:59;blindly against preside;rough but in;9
10;2025-12-15T09:37:45;COMMENT;2025-12-16T06:31:35;2025-12-16T06:43:18;stabilise mmm;ha;10
