id;amount;currency;payment_date;payment_status;payment_reference;cloud_transaction_id;provider_payment_intent_id;provider_charge_id;provider_customer_id;provider_payment_method_id;provider_event_last_id;country_code;provider_fee_amount;platform_fee_amount;creator_net_amount;tax_amount;authorized_date;captured_date;viewer_id
1;1930.08;ten;2025-12-15T15:06:57;DECLINED;across tribe octave;traditionalism pearl reboot;provided plugin;celsius however until;scout;even;waft consequently kookily;BQ;1665.12;26299.15;12298.42;12728.34;2025-12-15T17:19:53;2025-12-15T08:34:20;1
2;16018.88;dit;2025-12-15T16:41:08;REFUNDED;however foolishly;than save knowledgeably;cinch;shimmering oxidise;immense among;quart across;overconfidently;TW;30328.94;16740.43;21077.29;1452.24;2025-12-16T00:28:50;2025-12-15T21:01:07;2
3;973.41;sep;2025-12-16T06:04:57;COMPLETED;excluding pension;longingly pfft clamour;roadway fatally;grounded;sequester fervently tennis;whoever yogurt yet;rebel instead;WF;30403.9;12454.06;14426.82;26094.67;2025-12-15T17:28:51;2025-12-15T22:36:59;3
4;19753.06;foo;2025-12-16T02:58:15;CANCELED;who gosh;character;meh powerless;overfeed;acceptable zowie;successfully handy;reproachfully;CI;7569.96;20485.87;13007.93;29568.24;2025-12-16T05:49:49;2025-12-15T09:55:24;4
5;32353.28;unf;2025-12-15T23:02:58;DECLINED;manner before;known mousse meh;an;deeply enchanted;zen comfortable misjudge;after cultivated;astride who;IL;16939.66;29326.94;23125.25;17717.83;2025-12-16T03:42:09;2025-12-15T08:28:39;5
6;3904.45;pro;2025-12-15T22:11:20;COMPLETED;ameliorate;likewise subtract offensively;anesthetize;gift aha excepting;gentle;aside continually;suitcase;IS;13209.58;15852.65;25001.91;8966.45;2025-12-15T10:15:39;2025-12-15T18:02:56;6
7;7320.21;spe;2025-12-16T05:05:45;PENDING;mentor as;nice mystify;millet;partial immediate endow;wholly;awful gosh;ditch valley;VU;5946.98;16490.9;11012.29;20204.74;2025-12-15T13:42:14;2025-12-15T19:14:46;7
8;32726.18;who;2025-12-16T00:12:04;REFUNDED;before assured over;numeracy lazily;frankly unless yet;corny hearten ad;stigmatize collaboration;yuck yippee inscribe;ew;FK;25691.91;19958.29;6487.65;28776.37;2025-12-15T08:37:35;2025-12-15T07:05:16;8
9;27580.09;unf;2025-12-16T04:18:54;COMPLETED;phew furthermore meh;quaintly;promptly;angrily toward;unimpressively joint;circumference outside fooey;versus libel pertain;TT;28147.27;29280.12;9290.76;9838.39;2025-12-16T05:00:04;2025-12-16T03:13:46;9
10;253.34;int;2025-12-15T11:36:07;REFUNDED;hungrily;after neatly secret;hmph responsibility;place haul railway;relieve though;questionably whoever amongst;key butter;IT;6229.54;4589.85;29439.44;17120.39;2025-12-15T15:23:30;2025-12-15T20:32:33;10
