id;comment_content;like_count;created_date;last_modified_date;created_by;last_modified_by;deleted_date;commenter_id
1;../fake-data/blob/hipster.txt;29857;2025-12-16T06:47:06;2025-12-15T11:38:08;unexpectedly;next;2025-12-15T14:29:49;1
2;../fake-data/blob/hipster.txt;11438;2025-12-16T00:45:36;2025-12-15T13:45:04;nerve diligent insist;though;2025-12-15T18:24:39;2
3;../fake-data/blob/hipster.txt;30710;2025-12-16T06:03:11;2025-12-15T13:20:56;clone;smoothly;2025-12-15T10:16:40;3
4;../fake-data/blob/hipster.txt;13672;2025-12-16T02:10:03;2025-12-15T18:25:27;yahoo hence phooey;dreary nearly overplay;2025-12-15T16:04:05;4
5;../fake-data/blob/hipster.txt;24636;2025-12-15T21:04:15;2025-12-15T15:24:09;quaintly admired;unexpectedly however regarding;2025-12-15T07:14:37;5
6;../fake-data/blob/hipster.txt;31451;2025-12-16T02:40:37;2025-12-16T04:03:54;circa square incidentally;fencing boo;2025-12-15T18:06:24;6
7;../fake-data/blob/hipster.txt;23356;2025-12-16T00:04:28;2025-12-15T22:56:17;holster presell;rural weakly;2025-12-16T01:12:44;7
8;../fake-data/blob/hipster.txt;22289;2025-12-15T14:34:40;2025-12-15T08:53:07;bitterly;that qua unlike;2025-12-15T22:12:59;8
9;../fake-data/blob/hipster.txt;1781;2025-12-15T17:06:04;2025-12-15T10:40:30;drain;greatly gadzooks oof;2025-12-15T12:59:58;9
10;../fake-data/blob/hipster.txt;22330;2025-12-16T05:19:36;2025-12-15T12:10:32;viciously before once;statement;2025-12-15T14:21:57;10
