id;post_content;is_public;pinned_post;like_count;created_date;last_modified_date;created_by;last_modified_by;deleted_date;creator_id
1;../fake-data/blob/hipster.txt;true;true;184;2025-12-10T10:15:00;2025-12-10T10:15:00;user1;user1;;1
2;../fake-data/blob/hipster.txt;false;false;12;2025-12-12T21:05:10;2025-12-13T08:00:00;user1;user1;;1
3;../fake-data/blob/hipster.txt;true;true;420;2025-12-11T08:30:45;2025-12-11T09:10:00;user2;user2;;2
4;../fake-data/blob/hipster.txt;true;false;67;2025-12-14T19:20:00;2025-12-14T19:20:00;user2;user2;;2
5;../fake-data/blob/hipster.txt;true;true;98;2025-12-09T07:12:10;2025-12-09T07:50:00;user3;user3;;3
6;../fake-data/blob/hipster.txt;false;false;3;2025-12-15T23:01:50;2025-12-16T02:49:05;user3;system;;3
7;../fake-data/blob/hipster.txt;true;true;305;2025-12-13T14:35:34;2025-12-13T15:12:04;user4;user4;;4
8;../fake-data/blob/hipster.txt;true;false;41;2025-12-16T06:42:37;2025-12-16T06:42:37;user4;user4;;4
9;../fake-data/blob/hipster.txt;true;true;156;2025-12-12T03:54:27;2025-12-12T04:20:00;user5;user5;;5
10;../fake-data/blob/hipster.txt;false;false;8;2025-12-17T11:25:10;2025-12-17T12:05:50;user5;system;;5
11;../fake-data/blob/hipster.txt;true;true;510;2025-12-15T18:46:09;2025-12-15T19:16:12;user6;user6;;6
12;../fake-data/blob/hipster.txt;true;false;73;2025-12-18T09:40:00;2025-12-18T10:10:00;user6;user6;;6
13;../fake-data/blob/hipster.txt;true;true;210;2025-12-14T11:58:58;2025-12-14T12:30:00;user7;user7;;7
14;../fake-data/blob/hipster.txt;true;false;22;2025-12-19T20:12:00;2025-12-19T20:12:00;user7;user7;;7
15;../fake-data/blob/hipster.txt;true;true;134;2025-12-16T04:21:28;2025-12-16T04:55:00;user8;user8;;8
16;../fake-data/blob/hipster.txt;false;false;6;2025-12-20T01:10:00;2025-12-20T01:40:00;user8;system;;8
17;../fake-data/blob/hipster.txt;true;true;287;2025-12-15T22:55:14;2025-12-15T23:22:22;user9;user9;;9
18;../fake-data/blob/hipster.txt;true;false;55;2025-12-21T10:05:00;2025-12-21T10:05:00;user9;user9;2025-12-23T09:00:00;9
19;../fake-data/blob/hipster.txt;true;true;390;2025-12-15T13:02:43;2025-12-15T22:04:55;user10;user10;;10
20;../fake-data/blob/hipster.txt;true;false;44;2025-12-22T12:00:00;2025-12-22T12:30:00;user10;system;;10
21;../fake-data/blob/hipster.txt;true;false;64;2025-12-17T15:10:00;2025-12-17T15:10:00;user3;user3;;3
