id;start_date;end_date;subscription_status;created_date;last_modified_date;created_by;last_modified_by;deleted_date;viewer_id;creator_id
1;2025-12-15T16:09:49;2025-12-15T22:55:00;CANCELLED;2025-12-15T09:07:42;2025-12-15T06:53:00;brr amid worth;pale;2025-12-16T02:55:51;1;1
2;2025-12-16T00:27:48;2025-12-16T01:32:29;RENEWED;2025-12-15T10:31:59;2025-12-15T14:40:50;whose incomplete furlough;around impressionable valuable;2025-12-15T21:18:59;2;2
3;2025-12-16T02:35:16;2025-12-15T22:17:50;SUSPENDED;2025-12-15T19:45:49;2025-12-15T21:24:45;questionably case;rarely;2025-12-15T09:56:13;3;3
4;2025-12-16T06:09:03;2025-12-15T23:36:23;SUSPENDED;2025-12-15T07:44:53;2025-12-16T05:06:59;yippee;pacemaker aside;2025-12-15T08:01:29;4;4
5;2025-12-15T18:26:40;2025-12-15T21:04:33;RENEWED;2025-12-15T21:18:57;2025-12-15T08:46:47;blue afore consequently;gestate barring likewise;2025-12-15T07:25:19;5;5
6;2025-12-15T13:26:20;2025-12-15T21:07:53;CANCELLED;2025-12-16T04:57:01;2025-12-15T19:15:11;discourse;angle neaten live;2025-12-15T08:09:46;6;6
7;2025-12-15T08:34:56;2025-12-16T01:49:53;RENEWED;2025-12-15T20:22:12;2025-12-15T06:44:27;swiftly huzzah;ouch aside graft;2025-12-15T18:45:58;7;7
8;2025-12-15T15:25:07;2025-12-15T21:28:28;EXPIRED;2025-12-15T13:36:04;2025-12-15T08:52:33;clearly;lawful;2025-12-15T12:50:24;8;8
9;2025-12-15T12:14:32;2025-12-15T06:52:09;SUSPENDED;2025-12-16T02:25:35;2025-12-15T20:54:36;amidst;strange;2025-12-15T09:23:28;9;9
10;2025-12-15T21:39:49;2025-12-15T13:58:07;RENEWED;2025-12-15T11:01:57;2025-12-15T20:39:46;boohoo clearly;orange than;2025-12-16T05:31:41;10;10
