id;amount;currency;reason;payment_reference;provider_charge_id;status;created_date;processed_at;created_by;last_modified_by;deleted_date
1;21993.94;run;consequently why;heroine;innovate unwritten;REFUNDED;2025-12-15T13:11:07;2025-12-15T08:31:44;drat perfection except;till fooey;2025-12-15T20:55:24
2;2591.95;bot;finally government bah;synthesise taro;idealistic purple;PENDING;2025-12-16T01:54:43;2025-12-15T10:07:42;concerned;whoever but;2025-12-16T04:05:39
3;24627.14;sti;overload furiously;down forsaken which;please incidentally noxious;DECLINED;2025-12-15T08:49:18;2025-12-15T23:54:39;including jagged although;though overwork yuck;2025-12-15T20:40:40
4;31157.56;plu;massive put so;ah;minion;COMPLETED;2025-12-16T02:23:52;2025-12-15T10:02:07;unfortunately across;phooey eggplant;2025-12-15T12:11:41
5;15395.37;um ;flowery;uh-huh;um;REFUNDED;2025-12-15T09:40:45;2025-12-15T23:23:43;fine ugh;forage while;2025-12-15T22:41:59
6;30281.81;swi;till;window;suddenly reference;PENDING;2025-12-16T03:16:55;2025-12-15T13:36:31;surge neatly;creak quietly meh;2025-12-15T07:23:30
7;19689.33;shi;and floss;next ack;in;COMPLETED;2025-12-16T04:25:11;2025-12-16T03:25:59;fooey;down deplore pro;2025-12-15T16:57:01
8;12468.76;mil;fray whispered and;repossess;traffic;REFUNDED;2025-12-15T08:15:16;2025-12-16T03:37:43;rewrite sonar;why;2025-12-15T14:19:56
9;19697.05;sel;every t-shirt disbar;oddly supposing;bah upon pant;CANCELED;2025-12-15T19:08:17;2025-12-15T19:43:13;store till after;swing because untimely;2025-12-15T16:22:15
10;5197.29;ast;unlike beside thunderbolt;rapidly peppery;efface produce;CANCELED;2025-12-16T06:24:19;2025-12-15T14:59:07;whoa;colorfully scare;2025-12-15T18:45:05
