id;thumbnail;thumbnail_content_type;thumbnail_s_3_key;content;content_content_type;content_s_3_key;duration;like_count;is_preview;created_date;last_modified_date;created_by;last_modified_by;deleted_date;creator_id
1;../fake-data/blob/hipster.png;image/png;clips/creator1-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator1-city-walk.mp4;210;320;false;2025-12-09T09:10:00;2025-12-09T11:20:00;creator1;editor1;2025-12-20T08:00:00;1
2;../fake-data/blob/hipster.png;image/png;clips/creator2-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator2-studio-tour.mp4;145;180;true;2025-12-10T08:05:00;2025-12-10T09:00:00;creator2;editor2;2025-12-21T09:45:00;2
3;../fake-data/blob/hipster.png;image/png;clips/creator3-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator3-loop-pack.mp4;95;75;false;2025-12-11T13:15:00;2025-12-11T14:05:00;creator3;editor3;2025-12-22T10:15:00;3
4;../fake-data/blob/hipster.png;image/png;clips/creator4-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator4-behind-scenes.mp4;260;410;true;2025-12-12T07:35:00;2025-12-12T09:10:00;creator4;editor4;2025-12-23T11:30:00;4
5;../fake-data/blob/hipster.png;image/png;clips/creator5-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator5-live.mp4;188;265;false;2025-12-13T10:10:00;2025-12-13T11:40:00;creator5;editor5;2025-12-24T12:05:00;5
6;../fake-data/blob/hipster.png;image/png;clips/creator6-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator6-highlights.mp4;300;540;true;2025-12-14T16:45:00;2025-12-14T18:00:00;creator6;editor6;2025-12-25T13:50:00;6
7;../fake-data/blob/hipster.png;image/png;clips/creator7-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator7-short.mp4;120;98;false;2025-12-15T08:25:00;2025-12-15T09:35:00;creator7;editor7;2025-12-26T07:25:00;7
8;../fake-data/blob/hipster.png;image/png;clips/creator8-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator8-vlog.mp4;175;205;true;2025-12-15T12:40:00;2025-12-15T13:55:00;creator8;editor8;2025-12-26T18:40:00;8
9;../fake-data/blob/hipster.png;image/png;clips/creator9-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator9-review.mp4;230;310;false;2025-12-16T10:05:00;2025-12-16T11:45:00;creator9;editor9;2025-12-27T09:10:00;9
10;../fake-data/blob/hipster.png;image/png;clips/creator10-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator10-feature.mp4;205;288;true;2025-12-17T07:15:00;2025-12-17T08:35:00;creator10;editor10;2025-12-28T11:00:00;10
11;../fake-data/blob/hipster.png;image/png;clips/creator11-thumb.png;../fake-data/blob/hipster.png;video/mp4;clips/creator11-city-walk.mp4;210;124;false;2025-12-15T09:02:00;2025-12-15T09:04:00;jperez;jperez;2025-12-25T09:30:00;11
