id;state_name;iso_code;created_date;last_modified_date;created_by;last_modified_by;deleted_date;country_id
1;Aguascalientes;AGU;2024-01-01T01:00:00;2024-01-02T01:00:00;system;system;;1
2;Baja California;BCN;2024-01-01T01:05:00;2024-01-02T01:05:00;system;system;;1
3;Baja California Sur;BCS;2024-01-01T01:10:00;2024-01-02T01:10:00;system;system;;1
4;Campeche;CAM;2024-01-01T01:15:00;2024-01-02T01:15:00;system;system;;1
5;Chiapas;CHP;2024-01-01T01:20:00;2024-01-02T01:20:00;system;system;;1
6;Chihuahua;CHH;2024-01-01T01:25:00;2024-01-02T01:25:00;system;system;;1
7;Coahuila;COA;2024-01-01T01:30:00;2024-01-02T01:30:00;system;system;;1
8;Colima;COL;2024-01-01T01:35:00;2024-01-02T01:35:00;system;system;;1
9;Durango;DUR;2024-01-01T01:40:00;2024-01-02T01:40:00;system;system;;1
10;Guanajuato;GUA;2024-01-01T01:45:00;2024-01-02T01:45:00;system;system;;1
11;Guerrero;GRO;2024-01-01T01:50:00;2024-01-02T01:50:00;system;system;;1
12;Hidalgo;HID;2024-01-01T01:55:00;2024-01-02T01:55:00;system;system;;1
13;Jalisco;JAL;2024-01-01T02:00:00;2024-01-02T02:00:00;system;system;;1
14;México;MEX;2024-01-01T02:05:00;2024-01-02T02:05:00;system;system;;1
15;Michoacán;MIC;2024-01-01T02:10:00;2024-01-02T02:10:00;system;system;;1
16;Morelos;MOR;2024-01-01T02:15:00;2024-01-02T02:15:00;system;system;;1
17;Nayarit;NAY;2024-01-01T02:20:00;2024-01-02T02:20:00;system;system;;1
18;Nuevo León;NLE;2024-01-01T02:25:00;2024-01-02T02:25:00;system;system;;1
19;Oaxaca;OAX;2024-01-01T02:30:00;2024-01-02T02:30:00;system;system;;1
20;Puebla;PUE;2024-01-01T02:35:00;2024-01-02T02:35:00;system;system;;1
21;Querétaro;QUE;2024-01-01T02:40:00;2024-01-02T02:40:00;system;system;;1
22;Quintana Roo;ROO;2024-01-01T02:45:00;2024-01-02T02:45:00;system;system;;1
23;San Luis Potosí;SLP;2024-01-01T02:50:00;2024-01-02T02:50:00;system;system;;1
24;Sinaloa;SIN;2024-01-01T02:55:00;2024-01-02T02:55:00;system;system;;1
25;Sonora;SON;2024-01-01T03:00:00;2024-01-02T03:00:00;system;system;;1
26;Tabasco;TAB;2024-01-01T03:05:00;2024-01-02T03:05:00;system;system;;1
27;Tamaulipas;TAM;2024-01-01T03:10:00;2024-01-02T03:10:00;system;system;;1
28;Tlaxcala;TLA;2024-01-01T03:15:00;2024-01-02T03:15:00;system;system;;1
29;Veracruz;VER;2024-01-01T03:20:00;2024-01-02T03:20:00;system;system;;1
30;Yucatán;YUC;2024-01-01T03:25:00;2024-01-02T03:25:00;system;system;;1
31;Zacatecas;ZAC;2024-01-01T03:30:00;2024-01-02T03:30:00;system;system;;1
32;Ciudad de México;CMX;2024-01-01T03:35:00;2024-01-02T03:35:00;system;system;;1
33;Buenos Aires;BUE;2024-01-01T03:40:00;2024-01-02T03:40:00;system;system;;2
34;Córdoba;CBA;2024-01-01T03:45:00;2024-01-02T03:45:00;system;system;;2
35;Santa Fe;SFE;2024-01-01T03:50:00;2024-01-02T03:50:00;system;system;;2
36;São Paulo;SAO;2024-01-01T03:55:00;2024-01-02T03:55:00;system;system;;3
37;Rio de Janeiro;RIO;2024-01-01T04:00:00;2024-01-02T04:00:00;system;system;;3
38;Minas Gerais;MG;2024-01-01T04:05:00;2024-01-02T04:05:00;system;system;;3
39;Cundinamarca;CUN;2024-01-01T04:10:00;2024-01-02T04:10:00;system;system;;4
40;Antioquia;ANT;2024-01-01T04:15:00;2024-01-02T04:15:00;system;system;;4
41;Valle del Cauca;VAC;2024-01-01T04:20:00;2024-01-02T04:20:00;system;system;;4
42;Región Metropolitana de Santiago;RMS;2024-01-01T04:25:00;2024-01-02T04:25:00;system;system;;5
43;Valparaíso;VAL;2024-01-01T04:30:00;2024-01-02T04:30:00;system;system;;5
44;Biobío;BIO;2024-01-01T04:35:00;2024-01-02T04:35:00;system;system;;5
45;Lima;LIM;2024-01-01T04:40:00;2024-01-02T04:40:00;system;system;;6
46;Cusco;CUS;2024-01-01T04:45:00;2024-01-02T04:45:00;system;system;;6
47;Arequipa;ARE;2024-01-01T04:50:00;2024-01-02T04:50:00;system;system;;6
48;Pichincha;PIC;2024-01-01T04:55:00;2024-01-02T04:55:00;system;system;;7
49;Guayas;GUA;2024-01-01T05:00:00;2024-01-02T05:00:00;system;system;;7
50;Guatemala;GUA;2024-01-01T05:05:00;2024-01-02T05:05:00;system;system;;8
51;Quetzaltenango;QUE;2024-01-01T05:10:00;2024-01-02T05:10:00;system;system;;8
52;San José;SJO;2024-01-01T05:15:00;2024-01-02T05:15:00;system;system;;9
53;Alajuela;ALA;2024-01-01T05:20:00;2024-01-02T05:20:00;system;system;;9
54;Distrito Nacional;DN;2024-01-01T05:25:00;2024-01-02T05:25:00;system;system;;10
55;Santiago;SAG;2024-01-01T05:30:00;2024-01-02T05:30:00;system;system;;10
56;Montevideo;MTV;2024-01-01T05:35:00;2024-01-02T05:35:00;system;system;;11
57;Canelones;CAN;2024-01-01T05:40:00;2024-01-02T05:40:00;system;system;;11
