id;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;2025-12-10T07:19:37;2025-12-09T10:14:35;although well-documented fly;upbeat;false
2;2025-12-09T13:28:44;2025-12-10T04:46:32;step-mother early on;excluding;false
3;2025-12-09T19:02:43;2025-12-09T14:19:01;playfully although;enfold;true
4;2025-12-09T16:23:01;2025-12-09T10:51:17;from painfully;satirize;true
5;2025-12-10T00:39:32;2025-12-10T01:14:31;impressive;judicious spark lieu;false
6;2025-12-10T05:15:33;2025-12-10T02:19:04;jet lovable among;um;true
7;2025-12-09T23:37:19;2025-12-10T09:16:17;oh notwithstanding;reassuringly;false
8;2025-12-09T13:11:36;2025-12-10T00:45:37;mmm entry knowledgeably;corny by indeed;false
9;2025-12-10T07:08:45;2025-12-09T20:45:56;phooey versus;likewise clearly weight;true
10;2025-12-10T03:53:56;2025-12-09T23:39:46;um via outdo;difficult;true
