id;amount;duration;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;283.43;31059;2025-12-15T08:41:30;2025-12-15T13:26:40;lonely;mathematics;2025-12-15T06:49:57
2;256.08;18362;2025-12-15T19:06:48;2025-12-15T22:16:53;over;towards;2025-12-16T05:08:16
3;359.7;16996;2025-12-15T20:09:13;2025-12-15T23:58:38;critical forenenst;drat revere unless;2025-12-15T08:21:08
4;686.86;12705;2025-12-15T22:38:08;2025-12-15T09:04:43;inject glittering;voluntarily;2025-12-15T16:51:30
5;795.71;10909;2025-12-15T20:11:45;2025-12-15T17:10:47;folklore under kiss;happily;2025-12-15T11:21:44
6;124.52;11251;2025-12-15T20:12:59;2025-12-15T21:34:26;warmhearted um;silently mob illiterate;2025-12-15T09:29:29
7;682.9;24235;2025-12-15T09:04:08;2025-12-16T00:59:59;lyre remark snarling;after;2025-12-16T06:20:53
8;857.62;19635;2025-12-15T16:53:43;2025-12-15T07:54:52;geez over;ornery;2025-12-15T16:46:11
9;874.14;4123;2025-12-15T18:24:48;2025-12-15T23:41:21;given mmm warmly;phew;2025-12-16T04:22:41
10;306.93;2517;2025-12-16T03:49:33;2025-12-15T17:49:38;yellow abnormally with;of;2025-12-15T18:26:26
