id;free_days_duration;discount_percentage;start_date;end_date;subscriptions_limit;promotion_type;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;27050;81.84;2025-12-16;2025-12-15;11650;DISCOUNT;2025-12-16T05:11:27;2025-12-15T11:24:04;quickly after;fooey because;2025-12-15T19:00:14
2;19168;3.84;2025-12-16;2025-12-16;6398;DISCOUNT;2025-12-15T19:16:29;2025-12-15T18:53:39;vastly what;tomorrow;2025-12-16T05:49:34
3;20811;85.42;2025-12-15;2025-12-15;19480;FREE_DAYS;2025-12-15T14:51:09;2025-12-15T23:04:02;same dead obvious;amidst;2025-12-15T14:20:15
4;5455;67.07;2025-12-16;2025-12-15;6067;DISCOUNT;2025-12-15T11:25:34;2025-12-15T11:12:10;consequently;slap not hm;2025-12-15T13:26:49
5;30302;22.31;2025-12-15;2025-12-15;15760;DISCOUNT;2025-12-15T14:59:52;2025-12-15T21:56:07;shocked permafrost;mostly mmm when;2025-12-16T01:23:28
6;4893;73;2025-12-15;2025-12-15;30384;DISCOUNT;2025-12-15T20:15:47;2025-12-16T02:45:18;inasmuch lest;loftily into energetically;2025-12-15T19:53:13
7;30526;83.08;2025-12-16;2025-12-15;14502;DISCOUNT;2025-12-15T15:03:31;2025-12-15T09:14:29;gah;who underneath dependency;2025-12-15T16:39:06
8;2878;37.8;2025-12-16;2025-12-15;19209;DISCOUNT;2025-12-15T12:41:16;2025-12-15T20:14:56;psst yak;after following obediently;2025-12-15T16:05:39
9;22997;21.47;2025-12-16;2025-12-15;18300;FREE_DAYS;2025-12-15T11:05:12;2025-12-15T20:42:29;less than;eek nor rebuke;2025-12-15T10:29:20
10;11771;96.76;2025-12-16;2025-12-16;28886;FREE_DAYS;2025-12-16T01:53:16;2025-12-15T10:50:34;within pish until;up;2025-12-15T08:38:54
