id;rate_percentage;tax_type;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;3697.2;WITHHOLDING;2025-12-15T10:29:50;2025-12-15T19:15:21;that design;privilege drat;2025-12-16T00:24:51
2;29501.62;WITHHOLDING;2025-12-16T02:46:01;2025-12-15T22:24:55;quicker topsail sheepishly;midwife wire;2025-12-15T18:06:04
3;3999.33;WITHHOLDING;2025-12-15T08:04:28;2025-12-15T08:14:53;homely gah gah;venture;2025-12-15T16:10:16
4;5777.79;WITHHOLDING;2025-12-15T18:06:50;2025-12-15T20:26:52;ascribe;collaborate;2025-12-15T23:06:01
5;9589.48;VAT;2025-12-16T04:56:21;2025-12-15T22:38:25;sin;ugh;2025-12-15T14:01:06
6;3480.87;VAT;2025-12-15T19:06:13;2025-12-15T11:10:18;circa bah aboard;but fiercely brr;2025-12-15T16:59:51
7;682.86;VAT;2025-12-16T04:03:11;2025-12-15T12:27:22;hopelessly yin gosh;round;2025-12-15T19:06:37
8;17934.52;WITHHOLDING;2025-12-15T20:16:30;2025-12-15T22:00:04;now;moral;2025-12-16T00:01:24
9;19591.99;WITHHOLDING;2025-12-15T09:34:12;2025-12-15T07:59:10;if ouch;profitable yawn difficult;2025-12-15T11:01:25
10;29060.1;WITHHOLDING;2025-12-15T11:06:29;2025-12-15T08:41:22;reward;notwithstanding accidentally;2025-12-16T02:26:39
