id;link_code;start_date;end_date;free_days;is_used;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;ack;2025-12-15;2025-12-15;17301;true;2025-12-15T18:35:46;2025-12-15T08:32:47;advertisement slow politely;boohoo honestly kookily;2025-12-15T14:12:04
2;hastily euphonium entire;2025-12-16;2025-12-15;21801;false;2025-12-16T00:58:59;2025-12-16T05:22:45;phooey alongside;till yearningly;2025-12-16T04:26:02
3;on smoke athwart;2025-12-15;2025-12-15;829;false;2025-12-15T15:13:29;2025-12-15T16:50:29;playfully insert greedily;political merit;2025-12-15T13:05:37
4;beyond rosemary unique;2025-12-15;2025-12-16;14065;true;2025-12-15T11:36:20;2025-12-15T13:37:37;unaccountably quizzically;grimy fleck sleepily;2025-12-15T09:18:06
5;whoa;2025-12-15;2025-12-16;29759;true;2025-12-16T00:37:50;2025-12-15T21:11:52;for;uh-huh when per;2025-12-15T13:16:38
6;phooey finally;2025-12-16;2025-12-15;11644;false;2025-12-16T03:45:08;2025-12-15T19:38:50;gnash fluff;well-off rewarding;2025-12-15T11:51:04
7;imaginative trouser;2025-12-15;2025-12-15;14550;false;2025-12-15T12:38:28;2025-12-15T19:23:47;pertinent barring unibody;whereas next;2025-12-15T19:15:38
8;uh-huh;2025-12-15;2025-12-15;8745;false;2025-12-15T18:36:54;2025-12-15T10:11:25;barring;ick;2025-12-15T23:33:45
9;well beyond petty;2025-12-15;2025-12-15;9873;false;2025-12-15T10:49:48;2025-12-15T21:02:58;straw;curiously obstruct afraid;2025-12-15T17:27:30
10;snarling runny vastly;2025-12-16;2025-12-15;17931;false;2025-12-15T07:13:44;2025-12-15T19:48:00;blowgun into;hmph;2025-12-15T16:56:32
