id;requested_date;status;association_token;expiry_date;created_date;last_modified_date;created_by;last_modified_by;deleted_date;owner_id
1;2025-12-15T18:38:54;APPROVED;noxious masquerade abaft;2025-12-15T21:21:06;2025-12-15T12:34:49;2025-12-15T07:40:28;scaly vastly wiggly;fork;2025-12-15T09:37:18;1
2;2025-12-15T21:45:30;APPROVED;wherever;2025-12-15T13:46:15;2025-12-15T07:11:49;2025-12-16T00:31:19;skeleton questioningly times;gleefully minor;2025-12-16T02:35:07;2
3;2025-12-16T03:46:25;REQUESTED;urgently crest;2025-12-15T23:22:27;2025-12-16T04:13:11;2025-12-16T00:35:30;via;while unnaturally;2025-12-15T19:31:45;3
4;2025-12-15T12:35:07;APPROVED;weakly fragrant ill-fated;2025-12-16T02:33:33;2025-12-15T23:53:02;2025-12-15T20:50:19;intensely;grass;2025-12-15T13:55:10;4
5;2025-12-15T13:30:24;APPROVED;excluding frivolous;2025-12-16T02:32:22;2025-12-15T09:34:32;2025-12-15T21:35:01;gah;whoever randomize;2025-12-16T06:06:44;5
6;2025-12-15T15:41:24;REQUESTED;definite;2025-12-15T22:13:07;2025-12-15T09:57:19;2025-12-16T03:20:16;nephew westernise;meh draft;2025-12-15T10:14:22;6
7;2025-12-15T11:09:50;APPROVED;eventually incidentally;2025-12-15T20:47:05;2025-12-16T04:11:46;2025-12-15T14:59:57;giant;insert;2025-12-15T18:41:18;7
8;2025-12-16T04:34:20;APPROVED;lumbering silver;2025-12-15T10:47:50;2025-12-16T03:16:06;2025-12-15T10:07:20;spattering;where sizzle coexist;2025-12-15T23:34:37;8
9;2025-12-15T10:17:54;REJECTED;swathe alongside how;2025-12-15T15:16:17;2025-12-15T16:38:35;2025-12-15T08:57:32;colon;speedily and;2025-12-15T20:58:24;9
10;2025-12-15T22:47:51;APPROVED;verve;2025-12-15T08:19:03;2025-12-16T05:01:29;2025-12-16T00:59:49;sans;orient heartache broadly;2025-12-15T12:23:54;10
