id;title;description;start_date;end_date;creator_event_status;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;unibody;../fake-data/blob/hipster.txt;2025-12-15;2025-12-15;DELETED;2025-12-16T02:51:46;2025-12-15T12:40:22;furthermore wholly;inwardly briefly unless;2025-12-15T21:18:10
2;via;../fake-data/blob/hipster.txt;2025-12-15;2025-12-16;DELETED;2025-12-16T04:52:30;2025-12-15T21:12:32;clamour uh-huh;polarisation;2025-12-15T22:03:47
3;zowie;../fake-data/blob/hipster.txt;2025-12-15;2025-12-16;CANCELED;2025-12-15T22:15:50;2025-12-15T13:12:39;phew scaffold;before wilderness unbearably;2025-12-15T19:33:23
4;internationalize inasmuch oof;../fake-data/blob/hipster.txt;2025-12-16;2025-12-16;ACTIVE;2025-12-15T16:37:56;2025-12-16T01:05:07;violent knowledgeably;per brood;2025-12-15T09:08:48
5;wonderfully nor aha;../fake-data/blob/hipster.txt;2025-12-15;2025-12-15;DELETED;2025-12-15T14:22:17;2025-12-16T02:32:44;unfit swing;unkempt;2025-12-16T04:00:27
6;woot deed;../fake-data/blob/hipster.txt;2025-12-15;2025-12-16;ACTIVE;2025-12-16T04:57:04;2025-12-15T21:05:56;but entomb ack;abaft parallel pause;2025-12-15T22:14:10
7;furthermore up made-up;../fake-data/blob/hipster.txt;2025-12-16;2025-12-15;CANCELED;2025-12-16T04:11:31;2025-12-16T04:36:21;implode probate;vastly over throughout;2025-12-15T20:10:44
8;overcharge prudent kookily;../fake-data/blob/hipster.txt;2025-12-15;2025-12-16;ACTIVE;2025-12-15T18:43:42;2025-12-15T17:19:01;uselessly;sleepily even;2025-12-15T14:01:59
9;postbox catalyst gah;../fake-data/blob/hipster.txt;2025-12-15;2025-12-16;CANCELED;2025-12-16T02:08:37;2025-12-15T12:17:21;distinct obnoxiously misguided;fragrant;2025-12-16T01:10:07
10;vice SUV or;../fake-data/blob/hipster.txt;2025-12-16;2025-12-15;CANCELED;2025-12-15T10:25:28;2025-12-15T13:19:24;account;front draw;2025-12-15T11:28:27
