id;report_description;status;created_date;last_modified_date;created_by;last_modified_by;deleted_date;report_category;reporter_id;reported_id;multimedia_id;message_id;post_id;comment_id
1;gym unexpectedly hyphenation;ACTION_TAKEN;2025-12-15T16:10:17;2025-12-15T20:30:18;athwart during;afterwards spiffy unto;2025-12-16T03:58:05;MESSAGE_REPORT;14435;29318;9328;23668;16184;29185
2;analyse openly whoa;REVIEWED;2025-12-15T12:54:57;2025-12-16T06:03:20;down;for certification;2025-12-15T07:35:16;MESSAGE_REPORT;30614;15082;521;25899;9476;19544
3;mmm crushing;REVIEWED;2025-12-15T10:55:12;2025-12-15T15:20:10;lay shred boastfully;fast;2025-12-15T15:09:39;COMMENT_REPORT;26545;4883;25687;16643;14540;14216
4;statue ugh best;ACTION_TAKEN;2025-12-15T18:00:48;2025-12-15T16:44:34;finger gad including;yet;2025-12-15T19:55:58;MULTIMEDIA_REPORT;24230;20750;8035;32221;16233;6645
5;that whereas;ACTION_TAKEN;2025-12-15T13:45:17;2025-12-16T04:49:04;dwell below;tarragon or;2025-12-15T10:01:54;COMMENT_REPORT;29555;12160;11796;6936;25100;22792
6;pluck ha;ACTION_TAKEN;2025-12-15T19:13:28;2025-12-15T14:33:56;brr brush phooey;mundane stool;2025-12-16T02:55:42;POST_REPORT;16631;16799;26928;30890;10876;1685
7;impractical what;DISMISSED;2025-12-15T11:25:51;2025-12-15T15:52:42;despite;searchingly;2025-12-15T22:07:08;MESSAGE_REPORT;27377;26231;825;19662;28536;7748
8;descendant nervously;PENDING;2025-12-16T03:33:32;2025-12-15T16:26:05;strict gosh;naturally gloomy custody;2025-12-15T18:58:20;USER_REPORT;10737;4894;18373;1438;19156;24943
9;paralyse who;ACTION_TAKEN;2025-12-15T10:27:37;2025-12-16T02:04:16;cheerful perspire basic;understanding;2025-12-15T09:24:42;POST_REPORT;10807;2177;5899;17910;2136;28353
10;while interesting urgently;PENDING;2025-12-16T00:27:26;2025-12-15T20:57:42;finally;undergo smarten per;2025-12-15T20:34:14;POST_REPORT;338;16026;23198;13147;2925;25590
