id;dark_mode;language;content_filter;message_blur_intensity;activity_status_visibility;two_factor_authentication;sessions_active_count;email_notifications;important_subscription_notifications;new_messages;post_replies;post_likes;new_followers;sms_new_stream;toast_new_comment;toast_new_likes;toast_new_stream;site_new_comment;site_new_likes;site_discounts_from_followed_users;site_new_stream;site_upcoming_stream_reminders;created_date;last_modified_date;created_by;last_modified_by;deleted_date
1;false;ES;false;17376;false;true;4857;true;true;false;true;true;false;false;true;true;true;false;true;false;false;false;2025-12-15T10:22:10;2025-12-16T02:26:46;majestically;um however reiterate;2025-12-15T12:29:46
2;true;ES;false;21512;true;true;21656;true;false;false;true;true;false;true;true;false;true;true;true;false;true;false;2025-12-15T17:24:13;2025-12-16T03:36:59;trusty;impish ack willfully;2025-12-15T22:48:15
3;true;ES;false;12107;false;true;25082;true;true;true;true;false;true;false;false;false;false;true;true;false;true;true;2025-12-16T02:16:50;2025-12-15T21:45:25;silently;ghost because newsletter;2025-12-15T08:37:25
4;false;ES;true;1299;true;false;4272;false;true;false;false;true;true;false;false;false;false;false;false;false;true;true;2025-12-15T14:28:23;2025-12-15T23:03:43;yippee nicely;responsible;2025-12-15T17:22:16
5;true;EN;true;29533;false;false;1993;false;true;false;false;true;false;true;false;true;true;true;false;false;false;false;2025-12-15T19:54:33;2025-12-16T04:25:41;harangue though;likewise experience;2025-12-15T17:50:19
6;false;FR;false;18120;false;true;24757;false;true;false;false;false;true;false;true;false;true;false;true;true;false;false;2025-12-16T00:27:33;2025-12-15T06:28:01;daughter simple;bookend dreamily;2025-12-15T11:05:07
7;true;ES;false;10910;true;false;19542;true;false;false;false;true;false;true;true;false;false;false;false;false;true;true;2025-12-15T12:04:18;2025-12-15T16:20:09;however um rosin;hygienic because;2025-12-15T19:37:58
8;false;FR;true;14500;false;false;21872;false;true;true;false;false;false;true;false;true;false;true;true;false;false;false;2025-12-15T12:44:30;2025-12-15T08:22:59;weatherize stained;affectionate;2025-12-15T07:23:04
9;true;FR;true;28310;false;false;1766;true;false;false;false;false;false;true;false;false;true;false;true;true;false;true;2025-12-15T06:42:35;2025-12-16T00:23:09;expensive hassle;indeed afore er;2025-12-15T18:25:52
10;true;FR;true;16480;false;true;17802;true;true;false;true;true;false;true;false;true;true;false;false;true;false;true;2025-12-15T09:28:50;2025-12-16T04:46:07;haunting politely;cod;2025-12-16T01:30:47
