id;thumbnail_s_3_key;content_s_3_key;duration;like_count;created_date;last_modified_date;created_by;last_modified_by;deleted_date;creator_id
1;psst quick release;brr yippee;11318;19168;2025-12-16T00:02:40;2025-12-15T21:23:20;issue;utterly as;2025-12-15T21:29:37;1
2;times shore;as;5858;12249;2025-12-15T15:35:16;2025-12-15T14:16:49;pish;granular swanling ah;2025-12-15T12:57:30;2
3;lavish after pilot;dearly teriyaki;25126;14202;2025-12-15T22:15:52;2025-12-15T11:52:43;loyally;amnesty;2025-12-15T10:52:31;3
4;beyond sarong suckle;yippee pish humble;3919;24924;2025-12-15T15:29:44;2025-12-15T21:23:02;quick-witted after;untrue reword what;2025-12-16T00:42:54;4
5;subtract edge;yuck;18192;8351;2025-12-15T20:00:52;2025-12-15T15:31:12;transom shinny vivaciously;geez hence ha;2025-12-16T02:59:29;5
6;above;dime frugal what;19342;18822;2025-12-15T17:47:12;2025-12-16T04:54:44;absentmindedly when;aside tomb barring;2025-12-15T08:43:37;6
7;next formation;abaft yuck;19686;17610;2025-12-15T17:39:30;2025-12-15T08:21:20;when ew;wilt;2025-12-15T13:05:08;7
8;enchanted;excluding;16678;26517;2025-12-16T04:51:41;2025-12-15T15:14:00;amid;construe yuck outnumber;2025-12-15T18:12:27;8
9;incidentally fatal times;travel blah needily;9007;15051;2025-12-16T03:29:20;2025-12-15T11:09:12;when edge per;duh until;2025-12-16T03:50:26;9
10;amidst beautifully;huzzah or powerless;22152;487;2025-12-16T06:20:28;2025-12-16T00:17:03;perfumed to snow;gullible;2025-12-15T20:51:20;10
